
millis,ldr_raw,ldr_ema,joyx_raw,joyx_ema,joyy_raw,joyy_ema,mic_raw,mic_ema,sw
5452,264,264.0,513,512.5,520,520.0,45,45.6,0
5502,264,264.0,512,512.4,520,520.0,46,45.7,0
5552,263,263.7,513,512.5,520,520.0,45,45.5,0
5602,264,263.8,512,512.4,520,520.0,45,45.4,0
5652,264,263.8,512,512.3,519,519.8,45,45.3,0
5702,264,263.9,513,512.5,520,519.8,46,45.5,0
5752,264,263.9,513,512.6,520,519.9,45,45.4,0
5803,264,263.9,512,512.5,520,519.9,45,45.3,0
5853,264,264.0,513,512.6,520,519.9,45,45.2,0
5903,264,264.0,512,512.4,520,519.9,47,45.6,0
5953,264,264.0,513,512.6,521,520.2,45,45.5,0
6003,263,263.7,512,512.4,520,520.2,45,45.4,0
6053,264,263.8,512,512.3,521,520.4,46,45.5,0
6103,264,263.8,512,512.2,521,520.5,46,45.6,0
6153,264,263.9,512,512.2,521,520.6,46,45.7,0
6203,265,264.2,512,512.1,520,520.5,45,45.5,0
6253,265,264.4,512,512.1,520,520.4,46,45.7,0
6303,264,264.3,512,512.1,521,520.5,45,45.5,0
6353,265,264.5,512,512.1,520,520.4,46,45.6,0
6403,264,264.3,513,512.3,520,520.3,45,45.5,0
6453,265,264.5,512,512.2,520,520.2,46,45.6,0
6503,265,264.6,513,512.4,520,520.2,46,45.7,0
6553,264,264.5,512,512.3,520,520.1,46,45.8,0
6603,265,264.6,512,512.2,521,520.3,46,45.8,0
6653,265,264.7,512,512.2,520,520.3,46,45.9,0
6703,264,264.5,513,512.4,520,520.2,46,45.9,0
6753,264,264.4,513,512.5,520,520.1,45,45.7,0
6803,264,264.3,513,512.7,520,520.1,46,45.8,0
6853,264,264.2,512,512.5,519,519.8,45,45.6,0
6903,264,264.2,512,512.4,520,519.9,46,45.7,0
6953,264,264.1,513,512.5,520,519.9,46,45.8,0
7003,266,264.6,512,512.4,520,519.9,45,45.6,0
7053,264,264.4,512,512.3,521,520.2,45,45.4,0
7103,264,264.3,512,512.2,520,520.1,45,45.3,0
7153,265,264.5,512,512.2,521,520.4,46,45.5,0
7203,265,264.6,512,512.1,520,520.3,45,45.4,0
7254,264,264.5,512,512.1,520,520.2,46,45.5,0
7304,264,264.4,512,512.1,520,520.2,45,45.4,0
7354,264,264.3,512,512.1,520,520.1,46,45.5,0
7404,265,264.4,512,512.0,520,520.1,46,45.7,0
7454,264,264.3,512,512.0,520,520.1,46,45.7,0
7504,264,264.3,512,512.0,521,520.3,45,45.6,0
7554,264,264.2,512,512.0,520,520.2,46,45.7,0
7604,264,264.1,513,512.3,520,520.2,46,45.8,0
7654,264,264.1,512,512.2,520,520.1,45,45.6,0
7704,264,264.1,512,512.1,520,520.1,45,45.4,0
7754,264,264.1,512,512.1,520,520.1,45,45.3,0
7804,264,264.0,512,512.1,520,520.1,46,45.5,0
7854,264,264.0,512,512.1,520,520.0,44,45.1,0
7904,264,264.0,512,512.0,520,520.0,46,45.3,0
7954,263,263.8,512,512.0,520,520.0,45,45.3,0
8004,264,263.8,513,512.3,520,520.0,45,45.2,0
8054,264,263.9,513,512.5,521,520.3,46,45.4,0
8104,264,263.9,512,512.3,520,520.2,45,45.3,0
8154,264,263.9,512,512.3,520,520.1,44,45.0,0
8204,264,263.9,512,512.2,520,520.1,45,45.0,0
8254,264,264.0,513,512.4,520,520.1,46,45.2,0
8304,263,263.7,512,512.3,520,520.1,46,45.4,0
8354,264,263.8,512,512.2,520,520.0,46,45.6,0
8404,264,263.8,512,512.2,519,519.8,45,45.4,0
8454,264,263.9,513,512.4,521,520.1,46,45.6,0
8504,263,263.7,512,512.3,520,520.1,45,45.4,0
8554,264,263.7,512,512.2,520,520.0,46,45.6,0
8604,264,263.8,512,512.2,519,519.8,46,45.7,0
8654,264,263.9,512,512.1,520,519.8,45,45.5,0
8704,264,263.9,512,512.1,519,519.6,45,45.4,0
8754,264,263.9,512,512.1,520,519.7,46,45.5,0
8804,264,263.9,512,512.0,520,519.8,45,45.4,0
8854,263,263.7,512,512.0,520,519.8,44,45.1,0
8904,264,263.8,512,512.0,520,519.9,46,45.3,0
8954,263,263.6,512,512.0,520,519.9,45,45.2,0
9004,262,263.2,512,512.0,520,519.9,46,45.4,0
9054,260,262.4,512,512.0,519,519.7,46,45.6,0
9104,257,261.0,512,512.0,521,520.0,46,45.7,0
9154,252,258.8,512,512.0,520,520.0,45,45.5,0
9204,252,257.1,512,512.0,520,520.0,45,45.4,0
9254,250,255.3,512,512.0,520,520.0,46,45.5,0
9304,251,254.2,513,512.3,521,520.3,46,45.6,0
9354,251,253.4,512,512.2,519,519.9,45,45.5,0
9404,251,252.8,512,512.1,520,520.0,46,45.6,0
9454,252,252.6,513,512.4,519,519.7,46,45.7,0
9504,250,252.0,512,512.3,519,519.5,45,45.5,0
9554,252,252.0,513,512.5,520,519.7,46,45.7,0
9604,250,251.5,513,512.6,520,519.7,45,45.5,0
9654,252,251.6,513,512.7,520,519.8,46,45.6,0
9704,251,251.5,512,512.5,519,519.6,46,45.7,0
9754,252,251.6,513,512.6,521,520.0,46,45.8,0
9804,252,251.7,512,512.5,519,519.7,44,45.3,0
9854,252,251.8,512,512.4,520,519.8,45,45.3,0
9904,251,251.6,512,512.3,520,519.8,45,45.2,0
9954,252,251.7,513,512.5,520,519.9,46,45.4,0
10004,252,251.8,513,512.6,520,519.9,46,45.5,0
10054,253,252.1,512,512.4,520,519.9,45,45.4,0
10104,252,252.1,512,512.3,521,520.2,46,45.6,0
10155,251,251.8,512,512.2,520,520.1,45,45.4,0
10205,252,251.8,512,512.2,520,520.1,46,45.6,0
10255,252,251.9,512,512.1,520,520.1,46,45.7,0
10305,252,251.9,512,512.1,520,520.1,47,46.0,0
10355,253,252.2,512,512.1,521,520.3,46,46.0,0
10405,253,252.4,513,512.3,519,520.0,47,46.3,0
10455,253,252.5,512,512.2,520,520.0,46,46.2,0
10505,251,252.2,512,512.2,520,520.0,46,46.1,0
10555,252,252.1,512,512.1,520,520.0,46,46.1,0
10605,251,251.8,512,512.1,520,520.0,45,45.8,0
10655,252,251.9,512,512.1,521,520.2,46,45.9,0
10705,252,251.9,513,512.3,521,520.4,45,45.7,0
10755,252,251.9,512,512.2,520,520.3,46,45.7,0
10805,252,251.9,512,512.2,520,520.2,47,46.1,0
10855,252,252.0,513,512.4,520,520.2,46,46.0,0
10905,251,251.7,512,512.3,520,520.1,46,46.0,0
10955,252,251.8,512,512.2,520,520.1,47,46.3,0
11005,252,251.8,512,512.2,521,520.3,46,46.2,0
11055,252,251.9,512,512.1,520,520.2,45,45.9,0
11105,251,251.7,512,512.1,520,520.2,46,45.9,0
11155,250,251.2,513,512.3,520,520.1,45,45.7,0
11205,250,250.9,512,512.2,521,520.4,47,46.0,0
11255,250,250.7,513,512.4,520,520.3,45,45.8,0
11305,250,250.5,512,512.3,519,519.9,46,45.8,0
11355,249,250.1,512,512.2,519,519.7,45,45.6,0
11405,250,250.1,512,512.2,520,519.8,46,45.7,0
11455,249,249.8,512,512.1,520,519.8,46,45.8,0
11505,250,249.9,512,512.1,520,519.9,45,45.6,0
11555,249,249.7,512,512.1,520,519.9,45,45.4,0
11606,250,249.7,512,512.1,520,519.9,45,45.3,0
11656,249,249.6,513,512.3,520,519.9,45,45.2,0
11706,249,249.4,512,512.2,521,520.2,45,45.2,0
11756,249,249.3,512,512.2,520,520.2,46,45.4,0
11806,249,249.2,512,512.1,519,519.9,45,45.3,0
11856,250,249.4,513,512.3,520,519.9,46,45.5,0
11906,250,249.6,512,512.3,520,519.9,45,45.4,0
11956,250,249.7,513,512.4,520,519.9,46,45.5,0
12006,249,249.5,512,512.3,521,520.2,45,45.4,0
12056,250,249.6,512,512.2,520,520.2,46,45.5,0
12106,250,249.7,512,512.2,520,520.1,46,45.7,0
12156,251,250.0,512,512.1,520,520.1,45,45.5,0
12206,250,250.0,512,512.1,520,520.1,46,45.6,0
12256,243,248.3,512,512.1,520,520.0,46,45.7,0
12306,168,228.2,513,512.3,520,520.0,46,45.8,0
12356,139,205.9,512,512.2,520,520.0,46,45.8,0
12406,122,184.9,512,512.2,520,520.0,46,45.9,0
12456,111,166.4,512,512.1,521,520.3,45,45.7,0
12506,103,150.6,511,511.8,521,520.4,45,45.5,0
12556,97,137.2,512,511.9,519,520.1,44,45.1,0
12606,92,125.9,512,511.9,521,520.3,46,45.3,0
12656,87,116.2,512,511.9,520,520.2,46,45.5,0
12706,84,108.1,512,512.0,519,519.9,46,45.6,0
12756,80,101.1,512,512.0,520,519.9,46,45.7,0
12806,79,95.6,512,512.0,520,520.0,45,45.5,0
12856,76,90.7,512,512.0,520,520.0,46,45.7,0
12906,75,86.8,512,512.0,520,520.0,46,45.7,0
12956,74,83.6,513,512.2,520,520.0,45,45.6,0
13006,71,80.4,513,512.4,520,520.0,45,45.4,0
13056,69,77.6,512,512.3,521,520.2,46,45.6,0
13106,67,74.9,512,512.2,520,520.2,45,45.4,0
13156,68,73.2,512,512.2,520,520.1,46,45.6,0
13206,65,71.1,512,512.1,519,519.9,46,45.7,0
13256,64,69.4,512,512.1,520,519.9,47,46.0,0
13306,63,67.8,512,512.1,520,519.9,46,46.0,0
13356,64,66.8,512,512.1,520,519.9,45,45.8,0
13406,62,65.6,513,512.3,520,520.0,46,45.8,0
